Tilda UID,Brand,SKU,Mark,Category,Title,Description,Text,Photo,Price,Quantity,Price Old,Editions,Modifications,External ID,Parent UID,Url
566167139602,,,,Шлейки///Татар///Хиты,Шлейка Эчпочмак,"тот самый, с горящим щаем","ВОЛК - бренд из Казани, а что является одним из символом татарской культуры и особенно кулинарии? Встречайте: эчпочмак. <br /><br />При заказе нам необходимо будет получить замеры: обхват шеи и живота, длины спинки и грудины.#nbsp;Как правильно снять мерки мы показали <a href=""#size"">на картинке тут.</a>",https://static.tildacdn.com/stor3364-6565-4661-a435-616530626432/46846585.png https://static.tildacdn.com/stor6637-3736-4731-b638-316539646535/99335031.jpg https://static.tildacdn.com/stor3438-6261-4565-b761-323439303663/50152871.jpg https://static.tildacdn.com/stor6163-3362-4237-b834-353661386663/82812766.jpg https://static.tildacdn.com/stor3061-6362-4530-b765-646634343338/46316420.jpg https://static.tildacdn.com/stor3961-3565-4239-b539-313337336431/82355449.jpg https://static.tildacdn.com/stor6438-3864-4536-b533-626237303038/32833972.jpg https://static.tildacdn.com/stor6565-3535-4234-b561-396130386639/19118840.jpg https://static.tildacdn.com/stor6235-6531-4462-b662-623635363263/20215477.jpg,,,,,Добавить поводок с прорезиненной стропой:-- Без поводка --///2 метра (2100руб.)=+2100///3 метра (2400руб.)=+2400///4 метра (2700руб.)=+2700///5 метров (3000руб.)=+3000|Фастекс:-- Не выбрано --///На шее (+500руб.)=+500|Кольцо:-- Не выбрано --///На груди (+500руб.)=+500|Ручка между фастексами:-- Не выбрано --///Добавить (+500руб.)=+700|Пошив по индивидуальным меркам:-- Стандартный размер --///Индивидуальный пошив (500руб.)=+500,Yg5KBON849ZIgjZiA56h,,https://volkamu.com/catalog/tproduct/585376851-566167139602-shleika-echpochmak
191296457502,,,,,Шлейка Эчпочмак - 2XS - 15 - Эчпочмак,,,https://static.tildacdn.com/stor3364-6565-4661-a435-616530626432/46846585.png,2590,,,Размер:2XS///Ширина(мм):15///Принт:Эчпочмак,,RC8bIYbZ3hcVdiFCCNAc,566167139602,https://volkamu.com/catalog/tproduct/585376851-566167139602-shleika-echpochmak?editionuid=191296457502
657542926722,,,,,Шлейка Эчпочмак - XS - 15 - Эчпочмак,,,https://static.tildacdn.com/stor3364-6565-4661-a435-616530626432/46846585.png,2590,,,Размер:XS///Ширина(мм):15///Принт:Эчпочмак,,fRZB5RzbKnavE1Pn80hR,566167139602,https://volkamu.com/catalog/tproduct/585376851-566167139602-shleika-echpochmak?editionuid=657542926722
350573712252,,,,,Шлейка Эчпочмак - XS - 20 - Эчпочмак,,,https://static.tildacdn.com/stor3364-6565-4661-a435-616530626432/46846585.png,2890,,,Размер:XS///Ширина(мм):20///Принт:Эчпочмак,,pJGTTbjCiLdH3JkkciFo,566167139602,https://volkamu.com/catalog/tproduct/585376851-566167139602-shleika-echpochmak?editionuid=350573712252
552421163692,,,,,Шлейка Эчпочмак - S - 20 - Эчпочмак,,,https://static.tildacdn.com/stor3364-6565-4661-a435-616530626432/46846585.png,2990,,,Размер:S///Ширина(мм):20///Принт:Эчпочмак,,E5Hn5YO1fm6InIjxtsFN,566167139602,https://volkamu.com/catalog/tproduct/585376851-566167139602-shleika-echpochmak?editionuid=552421163692
870458279542,,,,,Шлейка Эчпочмак - S - 25 - Эчпочмак,,,https://static.tildacdn.com/stor3364-6565-4661-a435-616530626432/46846585.png,3490,,,Размер:S///Ширина(мм):25///Принт:Эчпочмак,,gGvTgzNbuDEGODICl55U,566167139602,https://volkamu.com/catalog/tproduct/585376851-566167139602-shleika-echpochmak?editionuid=870458279542
277643780692,,,,,Шлейка Эчпочмак - SM - 25 - Эчпочмак,,,https://static.tildacdn.com/stor3364-6565-4661-a435-616530626432/46846585.png,3490,,,Размер:SM///Ширина(мм):25///Принт:Эчпочмак,,bfz5PnCJLcz6GXASDurF,566167139602,https://volkamu.com/catalog/tproduct/585376851-566167139602-shleika-echpochmak?editionuid=277643780692
154860881052,,,,,Шлейка Эчпочмак - M - 25 - Эчпочмак,,,https://static.tildacdn.com/stor3364-6565-4661-a435-616530626432/46846585.png,3490,,,Размер:M///Ширина(мм):25///Принт:Эчпочмак,,TjHoX2NDI47xCcshhStV,566167139602,https://volkamu.com/catalog/tproduct/585376851-566167139602-shleika-echpochmak?editionuid=154860881052
334904032732,,,,,Шлейка Эчпочмак - ML - 25 - Эчпочмак,,,https://static.tildacdn.com/stor3364-6565-4661-a435-616530626432/46846585.png,3690,,,Размер:ML///Ширина(мм):25///Принт:Эчпочмак,,6cUNtG3PsU6mAe2072eA,566167139602,https://volkamu.com/catalog/tproduct/585376851-566167139602-shleika-echpochmak?editionuid=334904032732
402842970822,,,,,Шлейка Эчпочмак - L - 25 - Эчпочмак,,,https://static.tildacdn.com/stor3364-6565-4661-a435-616530626432/46846585.png,3890,,,Размер:L///Ширина(мм):25///Принт:Эчпочмак,,IkAenAANBg22obgj3bfs,566167139602,https://volkamu.com/catalog/tproduct/585376851-566167139602-shleika-echpochmak?editionuid=402842970822
414913422562,,,,,Шлейка Эчпочмак - M - 38 - Эчпочмак,,,https://static.tildacdn.com/stor3364-6565-4661-a435-616530626432/46846585.png,4190,,,Размер:M///Ширина(мм):38///Принт:Эчпочмак,,dJDNLEsfVsj0Jicgf9Zc,566167139602,https://volkamu.com/catalog/tproduct/585376851-566167139602-shleika-echpochmak?editionuid=414913422562
473104414932,,,,,Шлейка Эчпочмак - ML - 38 - Эчпочмак,,,https://static.tildacdn.com/stor3364-6565-4661-a435-616530626432/46846585.png,4390,,,Размер:ML///Ширина(мм):38///Принт:Эчпочмак,,fuEnYGVxiUcuTPK1x6fb,566167139602,https://volkamu.com/catalog/tproduct/585376851-566167139602-shleika-echpochmak?editionuid=473104414932
850799805142,,,,,Шлейка Эчпочмак - L - 38 - Эчпочмак,,,https://static.tildacdn.com/stor3364-6565-4661-a435-616530626432/46846585.png,4590,,,Размер:L///Ширина(мм):38///Принт:Эчпочмак,,hvIr4eAnUHGR8zV4jMHf,566167139602,https://volkamu.com/catalog/tproduct/585376851-566167139602-shleika-echpochmak?editionuid=850799805142
